ticker,company,industry,sub_industry,headquarter,url
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",https://www.nyse.com/quote/XNYS:LLY
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",https://www.nyse.com/quote/XNYS:LNC
LIN,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",https://www.nyse.com/quote/XNYS:LIN
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",https://www.nyse.com/quote/XNYS:LYV
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",http://www.nasdaq.com/symbol/lkq
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",https://www.nyse.com/quote/XNYS:LMT
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",https://www.nyse.com/quote/XNYS:L
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",https://www.nyse.com/quote/XNYS:LOW
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",https://www.nyse.com/quote/XNYS:LYB
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",https://www.nyse.com/quote/XNYS:MTB
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",https://www.nyse.com/quote/XNYS:MRO
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",https://www.nyse.com/quote/XNYS:MPC
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York",http://www.nasdaq.com/symbol/mktx
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",http://www.nasdaq.com/symbol/mar
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",https://www.nyse.com/quote/XNYS:MMC
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",https://www.nyse.com/quote/XNYS:MLM
MAS,Masco Corp.,Industrials,Building Products,"Livonia, Michigan",https://www.nyse.com/quote/XNYS:MAS
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",https://www.nyse.com/quote/XNYS:MA
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",https://www.nyse.com/quote/XNYS:MKC
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,"San Jose, California",http://www.nasdaq.com/symbol/mxim
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",https://www.nyse.com/quote/XNYS:MCD
MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",https://www.nyse.com/quote/XNYS:MCK
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",https://www.nyse.com/quote/XNYS:MDT
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",https://www.nyse.com/quote/XNYS:MRK
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",https://www.nyse.com/quote/XNYS:MET
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",https://www.nyse.com/quote/XNYS:MTD
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",https://www.nyse.com/quote/XNYS:MGM
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",http://www.nasdaq.com/symbol/mchp
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",http://www.nasdaq.com/symbol/mu
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",http://www.nasdaq.com/symbol/msft
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",https://www.nyse.com/quote/XNYS:MAA
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",https://www.nyse.com/quote/XNYS:MHK
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",https://www.nyse.com/quote/XNYS:TAP
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",http://www.nasdaq.com/symbol/mdlz
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",http://www.nasdaq.com/symbol/mnst
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",https://www.nyse.com/quote/XNYS:MCO
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",https://www.nyse.com/quote/XNYS:MS
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",https://www.nyse.com/quote/XNYS:MOS
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Chicago, Illinois",https://www.nyse.com/quote/XNYS:MSI
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",https://www.nyse.com/quote/XNYS:MSCI
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",http://www.nasdaq.com/symbol/myl
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",http://www.nasdaq.com/symbol/ndaq
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",https://www.nyse.com/quote/XNYS:NOV
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",http://www.nasdaq.com/symbol/ntap
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",http://www.nasdaq.com/symbol/nflx
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",http://www.nasdaq.com/symbol/nwl
NEM,Newmont Corporation,Materials,Gold,"Denver, Colorado",https://www.nyse.com/quote/XNYS:NEM
NWSA,News Corp. Class A,Communication Services,Publishing,"New York, New York",http://www.nasdaq.com/symbol/nwsa
NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York",http://www.nasdaq.com/symbol/nws
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",https://www.nyse.com/quote/XNYS:NEE
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",https://www.nyse.com/quote/XNYS:NLSN
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",https://www.nyse.com/quote/XNYS:NKE
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",https://www.nyse.com/quote/XNYS:NI
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",https://www.nyse.com/quote/XNYS:NBL
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",https://www.nyse.com/quote/XNYS:JWN
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",https://www.nyse.com/quote/XNYS:NSC
